POS Txn,Dept,ID,Sales U
16120100160021008773,0261:HOSIERY,250,2
16120100160021008773,0634:VITAMINS & HLTH AIDS,102,1
16120100160021008773,0879:PET SUPPLIES,158,2
16120100160021008773,0973:CANDY,175,2
16120100160021008773,0982:SPIRITS,176,1
16120100160021008773,0983:WINE,177,4
16120100160021008773,0991:TOBACCO,179,2
16120100160021008774,0597:HEALTH AIDS,93,1
16120100160021008774,0604:PERSONAL CARE,100,5
16120100160021008775,0819:PRE-RECORDED A/V,135,1
16120100160021008775,0826:SMALL ELECTRICS,138,1
16120100160021008775,0982:SPIRITS,176,1
16120100160021008776,0961:GENERAL GROCERIES,169,3
16120100160021008777,0982:SPIRITS,176,2
16120100160021008778,0982:SPIRITS,176,4
16120100160021008778,0991:TOBACCO,179,1
16120100160021008779,0879:PET SUPPLIES,158,16
16120100160021008779,0982:SPIRITS,176,1
16120100160021008779,0983:WINE,177,2
16120100160021008779,0984:BEER,178,1
16120100160021008780,0530:SCHOOL/OFFIC SUPP,70,1
16120100160021008780,0597:HEALTH AIDS,93,1
16120100160021008780,0601:VALUE ZONE,97,1
16120100160021008780,0634:VITAMINS & HLTH AIDS,102,1
16120100160021008780,0836:HOUSEHOLD CLEANING,143,7
16120100160021008781,0593:PRESTIGE COSMETICS,270,1
16120100160021008781,0597:HEALTH AIDS,93,1
16120100160021008781,0598:BABY CARE,94,1
16120100160021008781,0836:HOUSEHOLD CLEANING,143,1
16120100160021008781,0965:PERISHABLES,171,1
16120100160021008781,0973:CANDY,175,1
16120100160021008781,0983:WINE,177,2
16120100160021008782,0837:GENERAL HOUSEWARES,296,1
16120100160021008782,0982:SPIRITS,176,1
16120100160021008783,0879:PET SUPPLIES,158,1
16120100160021008783,0973:CANDY,175,2
16120100160021008783,0984:BEER,178,1
16120100160021008784,0983:WINE,177,1
16120100160021008785,0962:BEVERAGES,170,1
16120100160021008785,0982:SPIRITS,176,1
16120100160021008786,0982:SPIRITS,176,1
16120100160021008786,0983:WINE,177,3
16120100160021008787,0982:SPIRITS,176,1
16120100160021008788,0638:GEN SPORTING GOODS,106,4
16120100160021008788,0961:GENERAL GROCERIES,169,2
16120100160021008788,0973:CANDY,175,1
16120100160021008788,0991:TOBACCO,179,1
16120100160021008789,0646:SEASONAL,110,1
16120100160021008789,0991:TOBACCO,179,2
16120100160021008790,0962:BEVERAGES,170,2
16120100160021008790,0982:SPIRITS,176,1
16120100160021008790,0983:WINE,177,1
16120100160021008791,0982:SPIRITS,176,1
16120100160021008792,0982:SPIRITS,176,1
16120100160021008792,0983:WINE,177,2
16120100160021008793,0962:BEVERAGES,170,2
16120100160021008793,0982:SPIRITS,176,1
16120100160021008794,0603:BEAUTY CARE,99,1
16120100160021008794,0604:PERSONAL CARE,100,1
16120100160021008794,0962:BEVERAGES,170,1
16120100160021008795,0962:BEVERAGES,170,2
16120100160021008795,0982:SPIRITS,176,1
16120100160021008796,0962:BEVERAGES,170,3
16120100160021008797,0071:BEAUTY RETAIL,266,1
16120100160021008797,0603:BEAUTY CARE,99,1
16120100160021008797,0795:HOME DECOR,128,2
16120100160021008797,0982:SPIRITS,176,3
16120100160021008797,0991:TOBACCO,179,1
16120100160021008798,0603:BEAUTY CARE,99,3
16120100160021008798,0604:PERSONAL CARE,100,5
16120100160021008798,0638:GEN SPORTING GOODS,106,3
16120100160021008798,0644:SPORTS NUTRITION,292,1
16120100160021008798,0680:AUTOMOTIVE,113,1
16120100160021008798,0961:GENERAL GROCERIES,169,1
16120100160021008798,0962:BEVERAGES,170,1
16120100160021008798,0973:CANDY,175,2
16120100160021008799,0597:HEALTH AIDS,93,1
16120100160021008799,0644:SPORTS NUTRITION,292,1
16120100160021008799,0836:HOUSEHOLD CLEANING,143,1
16120100160021008800,0836:HOUSEHOLD CLEANING,143,1
16120100160021008801,0983:WINE,177,1
16120100160021008801,0984:BEER,178,1
16120100160021008802,0961:GENERAL GROCERIES,169,3
16120100160021008802,0982:SPIRITS,176,1
16120100160021008803,0962:BEVERAGES,170,1
16120100160021008803,0982:SPIRITS,176,2
16120100160021008803,0984:BEER,178,1
16120100160021008804,0961:GENERAL GROCERIES,169,4
16120100160021008805,0644:SPORTS NUTRITION,292,2
16120100160021008806,0961:GENERAL GROCERIES,169,1
16120100160021008806,0962:BEVERAGES,170,1
16120100160021008807,0604:PERSONAL CARE,100,1
16120100160021008807,0836:HOUSEHOLD CLEANING,143,2
16120100160021008808,0983:WINE,177,1
16120100160022004677,0280:FASHION ACCESSORIES,27,2
16120100160022004677,0961:GENERAL GROCERIES,169,1
16120100160022004677,0962:BEVERAGES,170,1
16120100160022004677,0982:SPIRITS,176,1
16120100160022004678,0982:SPIRITS,176,2
16120100160022004679,0826:SMALL ELECTRICS,138,1
16120100160022004679,0982:SPIRITS,176,1
16120100160022004679,0984:BEER,178,1
16120100160022004679,0991:TOBACCO,179,1
16120100160022004680,0991:TOBACCO,179,2
16120100160022004681,0836:HOUSEHOLD CLEANING,143,2
16120100160022004682,0884:LAWN & GARDEN,160,2
16120100160022004682,0991:TOBACCO,179,2
16120100160022004683,0551:CAMERAS & EQUIP,75,1
16120100160022004683,0597:HEALTH AIDS,93,1
16120100160022004683,0834:COOKWARE,295,1
16120100160022004683,0836:HOUSEHOLD CLEANING,143,2
16120100160022004684,0532:AMERICAN GREETINGS,72,5
16120100160022004684,0983:WINE,177,1
16120100160022004684,0984:BEER,178,3
16120100160022004685,0983:WINE,177,4
16120100160022004686,0644:SPORTS NUTRITION,292,2
16120100160022004686,0861:GENERAL HARDWARE,156,1
16120100160022004687,0961:GENERAL GROCERIES,169,1
16120100160022004687,0982:SPIRITS,176,1
16120100160022004687,0983:WINE,177,1
16120100160022004688,0961:GENERAL GROCERIES,169,1
16120100160022004688,0962:BEVERAGES,170,1
16120100160022004689,0646:SEASONAL,110,3
16120100160022004689,0879:PET SUPPLIES,158,4
16120100160022004689,0982:SPIRITS,176,1
16120100160022004689,0983:WINE,177,11
16120100160022004690,0984:BEER,178,2
16120100160022004690,0991:TOBACCO,179,2
16120100160022004691,0593:PRESTIGE COSMETICS,270,1
16120100160022004691,0982:SPIRITS,176,1
16120100160022004691,0984:BEER,178,1
16120100160022004691,0991:TOBACCO,179,1
16120100160022004692,0983:WINE,177,24
16120100160022004693,0991:TOBACCO,179,1
16120100160022004694,0532:AMERICAN GREETINGS,72,1
16120100160022004695,0982:SPIRITS,176,1
16120100160022004695,0983:WINE,177,1
16120100160022004696,0982:SPIRITS,176,2
16120100160022004697,0644:SPORTS NUTRITION,292,1
16120100160022004698,0991:TOBACCO,179,1
16120100160022004699,0962:BEVERAGES,170,8
16120100160022004700,0982:SPIRITS,176,2
16120100160022004701,0879:PET SUPPLIES,158,1
16120100160022004701,0973:CANDY,175,1
16120100160022004701,0991:TOBACCO,179,2
16120100160022004702,0604:PERSONAL CARE,100,1
16120100160022004702,0644:SPORTS NUTRITION,292,2
16120100160022004703,0012:LOCAL GIFTS/FOODS,263,1
16120100160022004703,0530:SCHOOL/OFFIC SUPP,70,2
16120100160022004703,0532:AMERICAN GREETINGS,72,1
16120100160022004703,0604:PERSONAL CARE,100,1
16120100160022004703,0879:PET SUPPLIES,158,1
16120100160022004703,0973:CANDY,175,4
16120100160022004703,0983:WINE,177,4
16120100160022004704,0644:SPORTS NUTRITION,292,1
16120100160022004704,0962:BEVERAGES,170,1
16120100160022004704,0991:TOBACCO,179,1
16120100160022004705,0646:SEASONAL,110,6
16120100160022004706,0982:SPIRITS,176,3
16120100160022004706,0983:WINE,177,3
16120100160022004707,0962:BEVERAGES,170,1
16120100160022004708,0230:DAYWEAR,23,1
16120100160022004708,0531:STATIONERY SUNDRIES,71,2
16120100160022004708,0598:BABY CARE,94,3
16120100160022004708,0983:WINE,177,3
16120100160022004709,0646:SEASONAL,110,6
16120100160022004710,0590:MASS COSMETICS,86,1
16120100160022004710,0597:HEALTH AIDS,93,2
16120100160022004710,0982:SPIRITS,176,2
16120100160022004710,0983:WINE,177,9
16120100160022004711,0983:WINE,177,6
16120100160022004712,0071:BEAUTY RETAIL,266,1
16120100160022004712,0646:SEASONAL,110,2
16120100160022004713,0962:BEVERAGES,170,2
16120100160022004713,0973:CANDY,175,1
16120100160022004713,0982:SPIRITS,176,1
16120100160022004713,0983:WINE,177,1
16120100160022004713,0991:TOBACCO,179,1
16120100160022004714,0879:PET SUPPLIES,158,2
16120100160022004715,0836:HOUSEHOLD CLEANING,143,1
16120100160022004715,0879:PET SUPPLIES,158,1
16120100160022004716,0879:PET SUPPLIES,158,1
16120100160022004717,0962:BEVERAGES,170,2
16120100160022004717,0982:SPIRITS,176,3
16120100160022004720,0603:BEAUTY CARE,99,3
16120100160022004721,0680:AUTOMOTIVE,113,4
16120100160022004722,0984:BEER,178,1
16120100160022004723,0846:BATTERIES,147,2
16120100160022004724,0961:GENERAL GROCERIES,169,2
16120100160022004724,0962:BEVERAGES,170,1
16120100160022004724,0973:CANDY,175,1
16120100160022004724,0991:TOBACCO,179,1
16120100160022004725,0961:GENERAL GROCERIES,169,3
16120100160022004725,0973:CANDY,175,1
16120100160022004726,0597:HEALTH AIDS,93,2
16120100160022004726,0603:BEAUTY CARE,99,1
16120100160022004726,0604:PERSONAL CARE,100,9
16120100160022004726,0836:HOUSEHOLD CLEANING,143,1
16120100160022004726,0983:WINE,177,3
16120100160022004727,0343:MENS DENIM JEANS,34,1
16120100160022004727,0879:PET SUPPLIES,158,1
16120100160022004728,0597:HEALTH AIDS,93,1
16120100160022004728,0982:SPIRITS,176,1
16120100160022004728,0991:TOBACCO,179,1
16120100160022004729,0589:SUNGLASSES,85,2
16120100160022004729,0597:HEALTH AIDS,93,1
